brand,name,price,decimals,currency,price_without_vat,availability,description
LENOVO,Lenovo V130 I5 7200U 4GB 500GB W10 15.6″ FHD – Portátil,459,0,€,"379,34€ (sin IVA)",Sólo quedan 2 unidades,"Disfruta al máximo de su procesador de 7ª Generación Intel i5-7200U, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V130 tiene una pantalla de 15.6″ Full HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo no incluye sistema operativo."
HP,HP 250 G6 I5 7200U 4GB 500GB DOS – Portátil,459,0,€,"379,34€ (sin IVA)",Sólo quedan 2 unidades,"Te presentamos el portátil de HP de la serie 250 , con un procesador de 7ª generacion intel i5 7200U a 3.10 GHz con el que podras completar todas las tareas rapidamente. Almacena tus datos y abre aplicaciones como nunca con el disco duro 500GB y 4GB de memoria RAM.  Con una pantalla de 15.6″ y un peso de 2KG podras llevartelo a cualquier lugar. J151"
LENOVO,Lenovo V110 i3 6006U 8GB 1TB W10 15.6″ – Portátil,460,"0,99",€,"380,98€ (sin IVA)",,"Disfruta al máximo de su procesador de 6ª Generación Intel i3-6006U, alucina con sus 8GB de RAM y con 1TB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10."
ASUS,ASUS TP410UA EC287T i3 7100U 4GB 500GB 14 FHD W10 – Portátil,462,"0,28",€,"382,05€ (sin IVA)",Sólo queda 1 unidad,ASUS VivoBook Flip 14 TP410UA EC287T – Diseño plegable – Core i3 7100U – Win 10 Home 64 bit – 4 GB RAM – 500 GB HDD – 14″ pantalla táctil 1920 x 1080 (Full HD) – HD Graphics 620 – 802.11ac – gris estrella
LENOVO,YOGA BOOK B1-X90F Z8550 4GB 64GB 10.1 Android – Portátil,463,"0,56",€,"383,11€ (sin IVA)",,Yoga Book el mas versatil
ACER,Acer EX2540 i3 6006 4GB 256GB W10 – Portátil,467,"0,15",€,"386,08€ (sin IVA)",Sólo quedan 2 unidades,"Intel Core i3-6006U, 4GB RAM DDR3L, 256GB NAND (SSD), 15.6″ LED HD, Intel HD Graphics 520, sin unidad óptica, USB 3.0, lector tarjetas SD, HDMI, Windows 10 Home, 2.40Kg, Negro"
LENOVO,Lenovo V100-15IKB i5 7200 4GB 500GB W10 – Portátil,467,"0,33",€,"386,23€ (sin IVA)",Sólo quedan 2 unidades,"Disfruta al máximo de su procesador de 7ª Generación Intel i5-7200U, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10."
ACER,Acer EX2540 I5 7200 4GB 500GB 15.6 W10 – Portátil,469,"0,87",€,"388,32€ (sin IVA)",,"Intel Core i5-7200U, 4Gb RAM, 500GB HDD, pantalla 15.6″ LED HD, Intel HD Graphics 620, WiFi-ac, USB 3.0, DVD, lector tarjetas SD, HDMI, Windows 10 Home, 2.40Kg, Negro"
LENOVO,Lenovo V110-15ISK I3 6006 8GB 256GB W10 15.6″- Portátil,479,0,€,"395,87€ (sin IVA)",Sólo queda 1 unidad,"Disfruta al máximo de su procesador de 6ª Generación Intel i3-6006U, alucina con sus 8GB de RAM y con sus 256GB de SSD de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10."
LENOVO,LENOVO YOGA BOOK X5 Z8550 4GB 64GB 10″ W10P – Portátil,486,"0,73",€,"402,26€ (sin IVA)",,"ntel Atom x5-Z8550 (4c; 4t) a 1.44GHz, 4 GB RAM DDR3, 64 GB eMMC, pantalla 10.1″ 1920×1200 IPS MultiTáctil capacitiva, WiFi-ac, Bluetooth, Windows 10 Pro, Batería 8.500 mAh, Cámaras 8MPx + 2MPx, 690 g., Color negro"
ASUS,ASUS A542UA GQ1010 I5 8250 4GB 256GB DOS –  Portátil,489,0,€,"404,14€ (sin IVA)",Sólo queda 1 unidad,"El puerto USB 3.1 con conector USB Type-C ™ reversible hace que la conexión a dispositivos sea fácil y rápida. La norma USB 3.1 proporciona velocidades de transferencia de datos tan rápidas como 5Gbps – hasta 10 veces más rápidas que las conexiones USB 2.0! Puede transferir fotos, música y archivos de vídeo amplios en una fracción del tiempo – transferir una película de 2GB tarda menos de dos segundos. El ASUS VivoBook 15 también incluye puertos HDMI y VGA, así como un lector de tarjetas 3-en-1 (SD / SDHC / SDXC) para proporcionar una compatibilidad sin complicaciones con una gran variedad de periféricos, pantallas y proyectores."
LENOVO,Lenovo V110 i5 7200 4GB 1TB W10 15.6 – Portátil,494,"0,46",€,"408,64€ (sin IVA)",,"Disfruta al máximo de su procesador de 7ª Generación Intel i5-7200U, alucina con sus 4GB de RAM y con 1TB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10."
ACER,Acer EX2540 i3 6006 8GB 256GB W10 – Portátil,497,"0,86",€,"411,46€ (sin IVA)",Sólo queda 1 unidad,"Intel Core i3-6006U, 8GB RAM DDR3L, 256GB NAND (SSD), 15.6″ LED HD, Intel HD Graphics 520, sin unidad óptica, USB 3.0, lector tarjetas SD, HDMI, Windows 10 Home, 2.40Kg, Negro"
ASUS,ASUS TP412UA EC035T i3 8130 4GB 128GB W10 – Portátil,499,"0,8",€,"413,06€ (sin IVA)",,"El ASUS VivoBook Flip 14 es un portátil convertible que, gracias a unos marcos ASUS NanoEdge ultrafinos, presenta una pantalla de 14″ – 35,56 cm en un chasis de con unas dimensiones propias de un equipo de 13″ – 33,02 cm. Fino y ligero, el VivoBook Flip 14 se adapta a cualquier ocasión. Úsalo como portátil, tableta o cualquier posición intermedia. Su procesador Intel® Core™ i3 te permite realizar las tareas cotidianas con rapidez."
